"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045296","GO:0045296","cadherin binding","126/3777","334/18737",0.377245508982036,1.87144535393074,8.07449209480245,6.04606317858039e-14,7.53944078368974e-11,6.4979268477164e-11,"2023/26135/8407/5317/3898/5214/3688/57698/9531/23075/55742/3939/392/85456/79026/2011/10938/64837/2017/4361/23085/9052/8496/5318/51474/3875/6128/10985/5901/3895/5663/1983/7082/29766/302/5315/4756/6187/5493/26156/11273/226/51031/7531/5216/23164/22905/6147/8851/3927/3728/55379/2125/10801/10458/2194/1453/4854/53827/10298/10848/7408/5794/10890/6711/57142/5861/822/114793/8502/3655/29789/55854/6772/4430/471/26058/9208/3069/4735/10528/27131/6714/5770/11135/5905/11252/6138/6159/2317/6152/90102/8607/83939/151963/10606/6164/831/23367/9685/1627/10399/3326/6624/28969/989/1956/7458/55971/800/1015/7534/3646/50807/10397/1936/5339/23513/55833/7094/3190/64855/1968/1654/3054/2316",126
"GO:0003735","GO:0003735","structural constituent of ribosome","77/3777","175/18737",0.44,2.18275880328303,7.89857895721645,6.51089840843833e-13,4.0595451576613e-10,3.4987511973766e-10,"6146/6202/6125/54460/79590/6229/6150/63875/6157/6207/6188/6230/6171/28977/6128/6175/6144/122704/6235/51187/51065/6176/6218/65993/6187/6210/6137/6154/6147/84311/6143/6155/51649/6169/51081/6139/25873/6142/7311/6217/6223/23521/6205/6203/6193/6233/64969/51263/6160/6227/6161/6138/6159/6152/200916/6165/6164/6189/6167/6228/6208/4736/6206/64983/51373/29088/6129/6156/6132/6194/11224/6136/51116/100008587/6170/6134/6192",77
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","129/3777","397/18737",0.324937027707809,1.61195263123146,6.19240751046305,3.56434592565082e-09,1.48157978976219e-06,1.27691129476824e-06,"126789/79033/113802/10352/1660/6894/64216/1787/9188/6832/11128/118672/85463/28960/4839/10436/440081/51202/9416/91298/79039/283459/57696/57647/317781/255967/79587/85495/328/283/56339/112487/23405/115708/56986/80119/115752/54913/3669/51728/5073/124454/79068/54920/28987/11269/3735/79066/5430/1973/60528/201164/54890/79922/1659/79665/51651/11325/117246/2081/1655/9775/284131/146712/5442/56931/81890/55621/10775/54938/2091/56915/9704/246243/1653/391356/55006/80745/87178/150962/25885/84172/8886/79712/29081/79828/92935/55139/10056/129563/10621/92675/22803/171568/51095/25917/80746/201626/54931/54464/170506/25819/54888/6897/23517/27292/10622/2107/51520/10146/9337/9533/2617/54606/114049/56257/54517/90459/29883/10247/27161/10171/79670/3376/23404/64794/1654/24140/8653",129
"GO:0140297","GO:0140297","DNA-binding transcription factor binding","151/3777","488/18737",0.309426229508197,1.53500642369475,6.01721468107879,7.41804805639458e-09,2.31257648158101e-06,1.99311238567865e-06,"4853/4209/1660/3087/64210/26287/55662/22984/6934/10579/1488/406/2965/10524/6188/10413/2113/2288/11331/23710/85004/79365/904/3164/6667/11176/8091/6996/4801/79039/6926/5715/9612/6049/3146/688/170622/7027/5687/4792/3091/4149/2957/161582/6938/9325/4088/25942/9915/4205/30812/79447/6911/9739/79918/11060/5187/9611/3728/2648/6777/6774/50964/10014/80279/54828/6909/1655/6662/23558/124512/5771/6875/4087/6929/6597/1050/1054/7392/81/22933/4294/602/84922/3398/6801/2034/307/84913/55818/10865/4929/6670/4780/5757/9759/57593/5111/8195/171023/8904/6714/8202/3275/7533/23543/468/9978/10766/5468/9730/27086/3280/10891/3516/5481/5307/10915/4869/3159/860/60/196/57057/5814/51085/2969/6717/29969/54892/29883/80139/6867/4683/7534/25879/10221/1936/115426/23081/3301/7091/7088/8013/5887/9314/10783/6256/190/3054/2316",151
"GO:0048027","GO:0048027","mRNA 5'-UTR binding","18/3777","24/18737",0.75,3.72061159650516,6.70110759978353,1.11194556367196e-08,2.77319223579788e-06,2.39009772738753e-06,"6125/6207/6171/26156/6154/4628/5914/10642/4691/26354/170506/6189/22948/6208/23367/10492/10643/1654",18
"GO:0019843","GO:0019843","rRNA binding","34/3777","66/18737",0.515151515151515,2.55557160163991,6.3609842305306,1.41178332473792e-08,2.93415634324697e-06,2.52882592027617e-06,"6125/27042/9188/6207/6188/10436/6175/2971/283/55272/51335/6147/51081/1153/56342/29997/6205/6203/6193/55037/92856/51776/130916/7263/55299/6167/23107/4869/84154/51373/90459/6132/6136/6192",34
"GO:0030515","GO:0030515","snoRNA binding","20/3777","32/18737",0.625,3.1005096637543,5.97539956765024,2.10385706665385e-07,3.74787108873908e-05,3.23013242865201e-05,"27042/55127/9188/11163/57647/26747/55272/3669/55720/55813/92856/51602/7520/10528/4809/9136/54433/55651/705/1736",20
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","97/3777","301/18737",0.322259136212625,1.59866810569657,5.26116780832191,4.61776081942069e-07,6.27548494941637e-05,5.40857648533669e-05,"9636/65018/3716/5567/6125/10067/10613/55719/143384/54472/79899/4055/23710/10059/10376/5094/5036/10576/7316/23111/2308/8451/4792/3091/1734/4287/3320/7187/4091/4088/55070/8312/10273/29035/9810/4157/7531/1398/7326/409/11337/5430/55135/5187/9482/117584/22794/4591/5573/6613/71/55666/4087/4092/7311/2821/23640/10155/79677/10128/57142/6233/55120/550/4780/3329/841/7520/57761/81502/84557/23598/11078/9978/5905/6596/10891/3093/7345/819/3313/8878/3326/5071/1956/1191/7534/10221/3301/573/10783/7186/4281/30011/1741/7319/8450",97
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","102/3777","321/18737",0.317757009345794,1.57633388512368,5.23329422141262,5.00075589569522e-07,6.27548494941637e-05,5.40857648533669e-05,"9636/65018/3716/5567/6125/10067/10613/55719/143384/54472/79899/4055/23710/10059/10376/5094/5036/10576/7316/23111/2308/8451/4792/3091/1734/4287/3320/7187/9325/4091/4088/55070/8312/10273/29035/9810/4157/7531/1398/7326/409/11337/5430/55135/5187/9482/117584/22794/80279/4591/5573/6613/71/55666/4087/4092/7311/2821/23640/10155/79677/10128/57142/6233/55120/550/4780/6772/3329/841/7520/57761/81502/84557/11065/1051/23598/11078/9978/5905/6596/10891/3093/7345/819/3313/8878/3326/5071/1956/1191/7534/10221/3301/573/10783/7186/4281/30011/1741/7319/8450",102
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","45/3777","110/18737",0.409090909090909,2.02942450718463,5.4408345911697,5.03246587763943e-07,6.27548494941637e-05,5.40857648533669e-05,"8672/8661/8665/10480/10658/1975/10985/8562/1967/1965/1983/51065/3658/2935/29904/1984/1973/5914/57409/9811/27335/8890/4528/1933/3692/8664/80325/83939/85476/1981/10605/2107/51247/23367/1915/8662/5814/7458/10987/26986/3646/27161/1936/1964/1968",45
